Nombre,Tipo,Ver (V),Crear (C),Editar (E),Eliminar (D)
Confirmaciones de Entrega,Report,✓,,,
Datos del Empleado,Report,✓,,,
Dejar un mensaje,Form,,✓,,
Documentación Empleado,Page,✓,,,
Mis Activos,Page,✓,,,
Mis Encuestas,Page,✓,,,
Mis EPIs,Page,✓,,,
Mis Formaciones,Page,✓,,,
Mis Mensajes,Page,✓,,,
Mis Permisos,Page,✓,,,
Mis STOP2,Page,✓,,,
Nueva Solicitud EPI - Herramienta,Form,,✓,,
Nueva Solicitud Permiso,Form,,✓,,
Profile Page,Page,✓,,,
Solicitudes de Permisos,Page,✓,,,
STOP2 Analisis Previo,Report,✓,,,
Tablero Inicio,Page,✓,,,
